source,target,weight
1st Line Support/Helpdesk,Marketing Manager,0.12378513839075106
1st Line Support/Helpdesk,Mechanical,0.22644274321586144
1st Line Support/Helpdesk,Mortgage Advisor,0.1731454650363519
1st Line Support/Helpdesk,Network Security,0.216715869496046
1st Line Support/Helpdesk,Nursery,0.1716632715637042
1st Line Support/Helpdesk,Occupational Therapy,0.18630975393570737
1st Line Support/Helpdesk,Office Assistant,0.15362003514668324
1st Line Support/Helpdesk,Office Manager,0.16839964847282202
1st Line Support/Helpdesk,Other,0.2536513541947406
1st Line Support/Helpdesk,Other Accountancy,0.17132555775052424
1st Line Support/Helpdesk,Other Accountancy Qualified,0.19081522759728942
1st Line Support/Helpdesk,Other Admin & Secretarial,0.20803316300542457
1st Line Support/Helpdesk,Other Banking,0.19001315970392052
1st Line Support/Helpdesk,Other Charity & Voluntary,0.21282030607542315
1st Line Support/Helpdesk,Other Construction & Property,0.2135785646015754
1st Line Support/Helpdesk,Other Customer Service,0.15549425216358256
1st Line Support/Helpdesk,Other Education,0.16752305127122324
1st Line Support/Helpdesk,Other Engineering,0.2543899060074104
1st Line Support/Helpdesk,Other Estate Agency,0.20342746957887317
1st Line Support/Helpdesk,Other Financial Services,0.21284725758406875
1st Line Support/Helpdesk,Other Health & Medicine,0.19467360709848294
1st Line Support/Helpdesk,Other Hospitality & Catering,0.14719082552963103
1st Line Support/Helpdesk,Other Human Resources,0.1721813216536301
1st Line Support/Helpdesk,Other IT & Telecoms,0.287732550263236
1st Line Support/Helpdesk,Other Legal,0.21219535102593412
1st Line Support/Helpdesk,Other Leisure & Tourism,0.20910584162893295
1st Line Support/Helpdesk,Other Manager,0.21437353607380405
1st Line Support/Helpdesk,Other Manufacturing,0.19404574179778056
1st Line Support/Helpdesk,Other Marketing & PR,0.1895290348038733
1st Line Support/Helpdesk,Other Media & Creative,0.18156233567602373
1st Line Support/Helpdesk,Other Motoring & Automotive,0.20410753487334565
1st Line Support/Helpdesk,Other Recruitment Consultancy,0.20613049832435815
1st Line Support/Helpdesk,Other Retail,0.04787515790343148
1st Line Support/Helpdesk,Other Sales,0.16194236898303233
1st Line Support/Helpdesk,Other Social Care,0.1521254744898623
1st Line Support/Helpdesk,Other Strategy & Consultancy,0.16856089228661153
1st Line Support/Helpdesk,Other Training,0.19916797487140048
1st Line Support/Helpdesk,Other Transport & Logistics,0.2065615396008628
1st Line Support/Helpdesk,PA,0.14110253541532525
1st Line Support/Helpdesk,Paralegal,0.21428715483291022
1st Line Support/Helpdesk,Paraplanning,0.20028299235795216
1st Line Support/Helpdesk,Part-Qualified Acc.,0.16634568080511017
1st Line Support/Helpdesk,Payroll,0.08633281112658475
1st Line Support/Helpdesk,Pensions,0.18620046912761234
1st Line Support/Helpdesk,Pharmaceutical,0.1292463682969843
1st Line Support/Helpdesk,Physiotherapy,0.18501528057742164
1st Line Support/Helpdesk,Picker/Packer,0.1853959732136472
1st Line Support/Helpdesk,Practice (Non-Qual.),0.16428790975409477
1st Line Support/Helpdesk,Primary School,0.18327786737521387
1st Line Support/Helpdesk,Procurement Manager,0.1300117530114856
1st Line Support/Helpdesk,Production,0.20252329125272092
1st Line Support/Helpdesk,Production Manager,0.1476130813296126
1st Line Support/Helpdesk,Project Management,0.14770027600478677
1st Line Support/Helpdesk,Project Manager,0.162279790399513
1st Line Support/Helpdesk,Project Support,0.1539405289743944
1st Line Support/Helpdesk,Project/Programme Manager,0.15154301556231228
1st Line Support/Helpdesk,Property Manager,0.15711809548255293
1st Line Support/Helpdesk,Property Sales,0.1667387031359744
1st Line Support/Helpdesk,Purchase Ledger Clerk,0.09663670779155481
1st Line Support/Helpdesk,Qualified Social Worker,0.19151375185660927
1st Line Support/Helpdesk,Quality Assurance,0.19356643003968388
1st Line Support/Helpdesk,Quality Control,0.19686316138292287
1st Line Support/Helpdesk,Quantity Surveyor/PQS,0.20204318132361176
1st Line Support/Helpdesk,Receptionist,0.1712332385736188
1st Line Support/Helpdesk,Recruitment & Resourcing,0.15257079270956253
1st Line Support/Helpdesk,Recruitment Consultant,0.15722997945380796
1st Line Support/Helpdesk,Registered Manager,0.17358903800755848
1st Line Support/Helpdesk,Registered Mental Health Nurse,0.16859214686720653
1st Line Support/Helpdesk,Registered Nurse Band 5,0.1917880231905048
1st Line Support/Helpdesk,Researcher/Resourcer,0.1798299359172863
1st Line Support/Helpdesk,Sales Administrator,0.1718847597013587
1st Line Support/Helpdesk,Sales Assistant,0.13147987290213403
1st Line Support/Helpdesk,Sales Executive,0.18298357504463705
